title|title(eng)|year|img|score(bl)|score(user)|type|theme|mechanism|bggcode|minplayer|maxplayer|time|mintime|maxtime|age|difficulty
메이지 나이트: 얼티밋 에디션|Mage Knight: Ultimate Edition|2018|https://boardlife.co.kr/data/boardgame_strategy/2021/12/24/1640329191-62264.jpg|7.986|8.79|전략|모험,탐험,판타지,전투|협동 게임,주사위 굴리기,구획 이동,핸드 관리,모듈형 게임판,오픈 드래프팅,역할 놀이,1인용 게임,타일 ​​배치,가변적 플레이어 능력|248562|1|5|150|150|150|14|4.6267
촐킨: 마야의 달력|Tzolk'in: The Mayan Calendar|2012|https://boardlife.co.kr/data/boardgame_strategy/2021/02/03/1612346336-782738.jpg|7.866|8.08|전략|고대,문명,경제,농사,신화|편향,게임 종료 보너스,턴 오더: 클레임 조치,근로자 배치|126163|2|4|90|90|90|13|3.672
도미니언|Dominion|2008|https://boardlife.co.kr/data/boardgame_strategy/2021/02/03/1612344032-986124.png|7.820|7.95|전략|카드 게임,중세|지연된 구매,핸드 관리,치고받기,가변적 준비|36218|2|4|30|30|30|13|2.3524
아컴 호러: 카드 게임|Arkham Horror: The Card Game|2016|https://boardlife.co.kr/wys2/swf_upload/2022/07/18/1658093520711797.jpg|7.865|8.52|커스터마이징|모험,카드 게임,수집형 게임,판타지,공포,소설 기반 게임|액션 포인트,영역 이동,통신 제한,협동 게임,덱 구성,이벤트,핸드 관리,지도 변형,모듈형 게임판,행운을 빕니다,역할 놀이,시나리오 / 미션 / 캠페인 게임,1인용 게임,수치 확인 및 해결,가변적 플레이어 능력|205637|1|2|120|60|120|14|3.5021
버라지|Barrage|2019|https://boardlife.co.kr/wys2/swf_upload/2022/04/26/1650902133768524.jpg|7.878|8.57|전략|경제,환경,산업 / 제조|액션 드래프팅,계약,게임 종료 보너스,수입,네트워크 및 경로 구축,1인용 게임,턴 오더: 통계 기반,가변적 플레이어 능력,가변적 준비,근로자 배치|251247|1|4|120|60|120|14|4.0732
더 갤러리스트|The Gallerist|2015|https://boardlife.co.kr/wys2/swf_upload/2022/01/16/1642264092333367.jpg|7.842|8.26|전략|경제|상품 투기,투자,세트 컬렉션,1인용 게임,근로자 배치|125153|1|4|150|60|150|13|4.2667
르아브르|Le Havre|2008|https://boardlife.co.kr/data/boardgame_strategy/2021/12/24/1640329356-468430.png|7.868|8.20|전략|도시 건설,경제,산업 / 제조,해상|자동적인 자원 증가,게임 종료 보너스,선택되지 않은 자원의 가치 증대,대출,소유권,1인용 게임,근로자 배치|35677|1|5|150|30|150|12|3.7321
브래스|Brass: Lancashire|2007|https://boardlife.co.kr/data/boardgame_strategy/2021/12/24/1640329424-901592.jpg|7.818|8.34|전략|경제,산업 / 제조,나폴레옹 시대 이후,운송|핸드 관리,수입,대출,시장,네트워크 및 경로 구축,기술 트리 / 기술 트랙,턴 오더: 통계 기반|28720|2|4|120|60|120|14|3.8625
테라 미스티카|Terra Mystica|2012|https://boardlife.co.kr/data/boardgame_strategy/2021/12/24/1640329478-974134.jpg|7.740|8.08|전략|문명,경제,판타지,영토 건설|게임 종료 보너스,육각형 구획,수입,선택되지 않은 자원의 가치 증대,네트워크 및 경로 구축,기술 트리 / 기술 트랙,턴 오더: 패스 오더,가변적 플레이어 능력,가변적 준비,승점을 자원으로 사용|120677|2|5|150|60|150|12|3.9698
오딘을 위하여|A Feast for Odin|2016|https://boardlife.co.kr/data/boardgame_strategy/2021/12/24/1640329574-996804.png|7.803|8.22|전략|경제,농사,산업 / 제조,중세,퍼즐|자동적인 자원 증가,주사위 굴리기,구획 덮기,수입,행운을 빕니다,1인용 게임,타일 ​​배치,턴 오더: 패스 오더,근로자 배치|177736|1|4|120|30|120|12|3.8449
트라야누스|Trajan|2011|https://boardlife.co.kr/data/boardgame_strategy/2021/12/24/1640329639-798299.png|7.772|8.22|전략|고대,정치|영역 이동,핸드 관리,만칼라,오픈 드래프팅,세트 컬렉션|102680|2|4|120|60|120|12|3.653
스플렌더|Splendor|2014|https://boardlife.co.kr/data/boardgame_strategy/2021/12/24/1640329799-345514.png|7.629|7.71|가족|카드 게임,경제,르네상스|계약,오픈 드래프팅,경주,세트 컬렉션|148228|2|4|30|30|30|10|1.7867
레지스탕스: 아발론|The Resistance: Avalon|2012|https://boardlife.co.kr/data/boardgame_strategy/2022/01/02/1641052726-191444.png|7.757|7.93|파티|블러핑,카드 게임,추리,판타지,중세,협상,파티 게임,스파이 / 비밀 요원|피날레 엔딩,숨겨진 역할,비대칭 역할 정보,동시 동작 선택,팀 기반 게임,배신자 게임,가변적 플레이어 능력,투표|128882|5|10|30|30|30|13|1.7585
티츄|Tichu|1991|https://boardlife.co.kr/data/boardgame_strategy/2022/01/02/1641052786-66356.jpg|7.783|7.96|전략|카드 게임|핸드 관리,사다리타기,예측 입찰,팀 기반 게임,트릭 테이킹|215|4|4|60|60|60|10|2.3351
카베르나: 동굴 속 농부들|Caverna: The Cave Farmers|2013|https://boardlife.co.kr/data/boardgame_strategy/2022/01/02/1641052902-574172.png|7.753|8.24|전략|동물,경제,판타지,농사|자동적인 자원 증가,선택되지 않은 자원의 가치 증대,1인용 게임,타일 ​​배치,턴 오더: 클레임 조치,근로자 배치|102794|1|7|210|30|210|12|3.7864
스컬킹|Skull King|2013|https://boardlife.co.kr/wys2/swf_upload/2022/01/29/164344154246608.png|7.787|8.07|가족|카드 게임,해상,해적|예측 입찰,트릭 테이킹|150145|2|8|30|30|30|8|1.6871
위대한 로렌초|Lorenzo il Magnifico|2016|https://boardlife.co.kr/data/boardgame_strategy/2022/01/02/1641053047-261202.jpg|7.769|8.20|전략|르네상스|주사위 굴리기,오픈 드래프팅,가변적 플레이어 능력,근로자 배치,주사위로 일꾼 배치|203993|2|4|120|60|120|12|3.3
그랜드 오스트리아 호텔|Grand Austria Hotel|2015|https://boardlife.co.kr/wys2/swf_upload/2022/09/06/1662468056141295.jpeg|7.715|8.09|전략|카드 게임,주사위,경제|액션 드래프팅,계약,주사위 굴리기,게임 종료 보너스,핸드 관리,1회용 능력,세트 컬렉션,가변적 준비|182874|2|4|120|60|120|12|3.218
데드 오브 윈터 : 크로스로드 게임|Dead of Winter: A Crossroads Game|2014|https://boardlife.co.kr/data/boardgame_strategy/2021/02/17/1613556418-228159.jpg|7.641|7.75|테마|블러핑,추리,공포,좀비|액션 포인트,영역 이동,주사위 굴리기,핸드 관리,서사 / 단락 선택,행운을 빕니다,준협동 게임,스토리텔링,거래,배신자 게임,가변적 플레이어 능력,투표|150376|2|5|120|60|120|13|3.0134
정령섬|Spirit Island|2017|https://boardlife.co.kr/wys2/swf_upload/2022/02/05/1643996146727365.jpg|7.696|8.34|전략|판타지,전투,신화,영토 건설|작업 검색,지역 과반수/영향력,자동적인 자원 증가,캠페인/배틀 카드 주도,협동 게임,핸드 관리,모듈형 게임판,세트 컬렉션,동시 동작 선택,1인용 게임,가변적 플레이어 능력,가변적 준비|162886|1|4|120|90|120|13|4.0529
광기의 저택 (2판)|Mansions of Madness: Second Edition|2016|https://boardlife.co.kr/data/boardgame_strategy/2021/01/29/1611914705-283075.png|7.674|8.06|테마|모험,탐험,판타지,전투,공포,미니어처,살인 / 미스터리,퍼즐|영역 이동,협동 게임,주사위 굴리기,핸드 관리,지도 추가,모듈형 게임판,역할 놀이,시나리오 / 미션 / 캠페인 게임,1인용 게임,수치 확인 및 해결,팀 기반 게임,배신자 게임,가변적 플레이어 능력|205059|1|5|180|120|180|14|2.6667
마르코 폴로|The Voyages of Marco Polo|2015|https://boardlife.co.kr/data/boardgame_strategy/2022/01/02/1641053223-571422.png|7.694|7.96|전략|주사위,경제,중세,여행|계약,주사위 굴리기,수입,지점 이동,자원 소모 이동,턴 오더: 클레임 조치,가변적 플레이어 능력,가변적 준비,주사위로 일꾼 배치|171623|2|4|100|40|100|12|3.188
엘드리치 호러|Eldritch Horror|2013|https://boardlife.co.kr/data/boardgame_strategy/2021/02/09/1612856228-607951.jpg|7.620|7.86|테마|모험,판타지,전투,공포,소설 기반 게임,여행|액션 포인트,협동 게임,주사위 굴리기,지점 이동,역할 놀이,1인용 게임,수치 확인 및 해결,가변적 플레이어 능력|146021|1|8|240|120|240|14|3.3214
브라스: 랭커셔|Brass: Lancashire|2017|https://boardlife.co.kr/wys2/swf_upload/2022/02/13/1644738734859248.jpg|7.716|8.57|전략|경제,산업 / 제조,나폴레옹 시대 이후,운송|핸드 관리,수입,대출,시장,네트워크 및 경로 구축,기술 트리 / 기술 트랙,턴 오더: 통계 기반|28720|2|4|120|60|120|14|3.8625
도미니언: 장막뒤의 사람들|Dominion: Intrigue|2009|https://boardlife.co.kr/data/boardgame_strategy/2021/02/09/1612857636-254801.jpg|7.713|8.05|전략|카드 게임,중세|지연된 구매,핸드 관리|40834|2|6|30|30|30|13|2.4186
라스베가스|Las Vegas|2012|https://boardlife.co.kr/wys2/swf_upload/2022/06/16/1655381471867279.jpg|7.650|7.80|가족|주사위|지역 과반수/영향력,주사위 굴리기|117959|2|5|30|30|30|8|1.1823
로빈슨 크루소 : 저주받은 섬에서의 모험|Robinson Crusoe: Adventures on the Cursed Island|2012|https://boardlife.co.kr/data/boardgame_strategy/2022/01/02/1641053447-871683.jpg|7.564|7.87|테마|모험,탐험,전투,소설 기반 게임,영토 건설|작업 대기열,영역 이동,협동 게임,주사위 굴리기,다이 아이콘 해상도,이벤트,육각형 구획,지도 추가,이동 포인트,서사 / 단락 선택,시나리오 / 미션 / 캠페인 게임,1인용 게임,타일 ​​배치,턴 오더: 프로그레시브,가변적 플레이어 능력,근로자 배치|121921|1|4|120|60|120|14|3.8038
증기의 시대|Age of Steam|2002|https://boardlife.co.kr/wys2/swf_upload/2022/01/14/1642087800898375.png|7.670|8.23|전략|경제,기차,운송|경매/입찰,리더를 잡아라,연결,주사위 굴리기,대출,네트워크 및 경로 구축,수령과 배달,플레이어 탈락,시나리오 / 미션 / 캠페인 게임,선택 순서 입찰,타일 ​​배치,턴 오더: 경매,승점을 자원으로 사용|4098|1|6|120|120|120|13|3.892
그레이트 웨스턴 트레일|Great Western Trail|2016|https://boardlife.co.kr/data/boardgame_strategy/2021/02/03/1612343099-763945.jpg|7.665|8.02|전략|미국 서부,동물,경제|핸드 관리,소유권,지점 이동,세트 컬렉션,트랙 이동,가변적 준비|193738|2|4|150|75|150|12|3.7029
요코하마|Yokohama|2016|https://boardlife.co.kr/data/boardgame_strategy/2022/01/02/1641053597-108589.png|7.668|8.13|전략|경제|계약,게임 종료 보너스,구획 이동,모듈형 게임판,네트워크 및 경로 구축,세트 컬렉션,가변적 준비,근로자 배치,근로자 배치|196340|2|4|90|90|90|14|3.2913
텔레스트레이션|Telestrations|2009|https://boardlife.co.kr/data/boardgame_strategy/2021/02/08/1612776506-940790.jpg|7.637|7.92|파티|유머,파티 게임,실시간|종이와 연필|46213|4|8|30|30|30|12|1.0746
사이드|Scythe|2016|https://boardlife.co.kr/wys2/swf_upload/2022/01/14/164209067354874.png|7.573|8.06|전략|경제,전투,SF,영토 건설|카드 플레이 분쟁 해결,계약,게임 종료 보너스,병력 운용,구획 이동,육각형 구획,자리 차지하기,이동 포인트,서사 / 단락 선택,1인용 게임,치고받기,기술 트리 / 기술 트랙,가변적 플레이어 능력,가변적 준비,승점을 자원으로 사용,통제 구역|169786|1|5|115|90|115|14|3.4325
스타워즈: 리벨리온|Star Wars: Rebellion|2016|https://boardlife.co.kr/data/boardgame_strategy/2022/01/02/1641053707-671590.jpg|7.634|9.06|테마|내전,미니어처,영화 / TV / 라디오 테마,SF,우주 탐험,전쟁 게임|지역 과반수/영향력,영역 이동,지역 내 충돌,카드 플레이 분쟁 해결,계약,지연된 구매,주사위 굴리기,다이 아이콘 해상도,이벤트,핸드 관리,숨겨진 움직임,수입,1회용 능력,시뮬레이션,치고받기,팀 기반 게임,가변적 플레이어 능력,가변적 준비|187645|2|4|240|180|240|14|3.7315
파워 그리드|Power Grid|2004|https://boardlife.co.kr/data/boardgame_strategy/2022/01/02/1641053821-17008.png|7.632|7.92|전략|경제,산업 / 제조|경매/입찰,경매: 입찰 포기 전까지 차례 순서대로 입찰,리더를 잡아라,수입,시장,네트워크 및 경로 구축,턴 오더: 통계 기반|2651|2|6|120|120|120|12|3.2619
푸드 체인 거물|Food Chain Magnate|2015|https://boardlife.co.kr/data/boardgame_strategy/2021/01/29/1611915854-134520.jpg|7.582|8.14|전략|경제,산업 / 제조|지연된 구매,수입,시장,모듈형 게임판,오픈 드래프팅,동시 동작 선택,승점을 자원으로 사용|175914|2|5|240|120|240|14|4.2078
도미넌트 스피시즈|Dominant Species|2010|https://boardlife.co.kr/data/boardgame_strategy/2022/01/02/1641053998-43749.png|7.534|8.19|전략|동물,환경,선사시대|작업 대기열,지역 과반수/영향력,게임 종료 보너스,구획 이동,육각형 구획,지도 추가,오픈 드래프팅,치고받기,타일 ​​배치,턴 오더: 클레임 조치,가변적 플레이어 능력,근로자 배치|62219|2|6|240|120|240|14|4.0436
7 원더스|7 Wonders|2010|https://boardlife.co.kr/data/boardgame_strategy/2021/02/17/1613556513-747211.jpg|7.536|7.67|전략|고대,카드 게임,도시 건설,문명,경제|비공개 제도,핸드 관리,세트 컬렉션,동시 동작 선택,가변적 플레이어 능력|68448|2|7|30|30|30|10|2.3233
팬데믹 레거시: 시즌 2|Pandemic Legacy: Season 2|2017|https://boardlife.co.kr/wys2/swf_upload/2022/01/29/1643448054499515.jpg|7.587|8.42|테마|환경,탐험,의학|협동 게임,핸드 관리,레거시 게임,수령과 배달,지점 이동,세트 컬렉션,거래,가변적 플레이어 능력|221107|2|4|60|60|60|14|3.2519
클랜 오브 칼레도니아|Clans of Caledonia|2017|https://boardlife.co.kr/data/boardgame_strategy/2021/03/09/1615279663-425228.png|7.575|8.14|전략|경제,농사|상품 투기,계약,주사위 굴리기,시장,모듈형 게임판,네트워크 및 경로 구축,1인용 게임,턴 오더: 패스 오더,가변적 플레이어 능력,가변적 준비|216132|1|4|120|30|120|12|3.4674
테라포밍 마스: 서곡|Terraforming Mars: Prelude|2018|https://boardlife.co.kr/data/boardgame_strategy/2022/01/02/1641054235-671890.png|7.605|8.50|전략|확장 게임,경제,환경,산업 / 제조,SF|핸드 관리,오픈 드래프팅,타일 ​​배치|247030|1|5|120|90|120|12|2.518
모던아트|Modern Art|2017|https://boardlife.co.kr/data/boardgame_strategy/2022/01/02/1641054304-233607.png|7.579|7.86|전략|카드 게임,경제|경매/입찰,경매: 영국식,경매: 한바퀴,경매: 비밀 입찰,경매: 입찰 포기 전까지 차례 순서대로 입찰,상품 투기,핸드 관리,승점을 자원으로 사용|118|3|5|45|45|45|10|2.2957
케일러스|Caylus|2005|https://boardlife.co.kr/data/boardgame_strategy/2022/01/02/1641054374-740103.jpg|7.567|8.10|전략|도시 건설,경제,중세|작업 대기열,소유권,턴 오더: 클레임 조치,턴 오더: 패스 오더,가변적 준비,근로자 배치|18602|2|5|150|60|150|12|3.801
모던아트|Modern Art|1992|https://boardlife.co.kr/data/boardgame_strategy/2022/01/02/1641054431-214126.png|7.536|7.80|전략|카드 게임,경제|경매/입찰,경매: 영국식,경매: 한바퀴,경매: 비밀 입찰,경매: 입찰 포기 전까지 차례 순서대로 입찰,상품 투기,핸드 관리,승점을 자원으로 사용|118|3|5|45|45|45|10|2.2957
시즌스|Seasons|2012|https://boardlife.co.kr/wys2/swf_upload/2022/02/24/164564365971421.jpg|7.368|7.61|전략|카드 게임,판타지|비공개 제도,주사위 굴리기,핸드 관리,오픈 드래프팅,치고받기,승점을 자원으로 사용|108745|2|4|60|60|60|14|2.7781
반지 전쟁 (2판)|War of the Ring: Second Edition|2012|https://boardlife.co.kr/wys2/swf_upload/2022/02/24/1645698686644301.jpg|7.467|8.63|테마|모험,판타지,전투,소설 기반 게임,영토 건설,전쟁 게임|지역 과반수/영향력,영역 이동,캠페인/배틀 카드 주도,카드 플레이 분쟁 해결,주사위 굴리기,이벤트,핸드 관리,숨겨진 움직임,이동 포인트,시뮬레이션,팀 기반 게임,가변적 준비|115746|2|4|180|150|180|13|4.187
마작|Mahjong|1850|https://boardlife.co.kr/wys2/swf_upload/2022/06/04/165431630336273.jpg|7.532|8.29|추상|추상 전략|핸드 관리,세트 컬렉션|2093|3|4|120|120|120|8|2.5717
다섯 부족|Five Tribes|2014|https://boardlife.co.kr/wys2/swf_upload/2022/02/08/1644308529331100.jpg|7.492|7.85|전략|아라비안,판타지,신화|경매/입찰,제한된 입찰,게임 종료 보너스,숨겨진 점수,만칼라,모듈형 게임판,세트 컬렉션,정사각형 그리드,치고받기,턴 오더: 경매,가변적 플레이어 능력,가변적 준비,승점을 자원으로 사용|157354|2|4|80|40|80|13|2.853
테오티우아칸: 신들의 도시|Teotihuacan: City of Gods|2018|https://boardlife.co.kr/data/boardgame_strategy/2021/02/03/1612343751-953565.jpg|7.479|8.00|전략|고대|영역 이동,론델,세트 컬렉션,1인용 게임,타일 ​​배치,트랙 이동,가변적 준비,주사위로 일꾼 배치|229853|1|4|120|90|120|14|3.779
러시안 레일로드|Russian Railroads|2013|https://boardlife.co.kr/data/boardgame_strategy/2022/01/02/1641054676-650342.jpg|7.439|7.88|전략|산업 / 제조,기차|게임 종료 보너스,근로자 배치|144733|2|4|120|90|120|12|3.4086
알케미스트|Alchemists|2014|https://boardlife.co.kr/wys2/swf_upload/2022/02/15/16448614209349.jpg|7.493|7.93|전략|추리,판타지|액션 드래프팅,제한된 입찰,추리,게임 종료 보너스,이벤트,핸드 관리,오픈 드래프팅,턴 오더: 프로그레시브|161970|2|4|120|120|120|13|3.9158
비티컬처 에센셜 에디션|Viticulture Essential Edition|2015|https://boardlife.co.kr/data/boardgame_strategy/2022/01/02/1641054846-206172.jpg|7.481|7.90|전략|경제,농사|계약,핸드 관리,1인용 게임,턴 오더: 경매,승점을 자원으로 사용,근로자 배치,근로자 배치|183394|1|6|90|45|90|13|2.8877
빌리지|Village|2011|https://boardlife.co.kr/wys2/swf_upload/2022/01/14/1642094339684963.jpg|7.480|7.86|전략|농사,중세|지역 과반수/영향력,계약,세트 컬렉션,턴 오더: 클레임 조치,근로자 배치,근로자 배치|104006|2|4|90|60|90|12|3.0716
뤄양의 사람들|At the Gates of Loyang|2009|https://boardlife.co.kr/data/boardgame_strategy/2022/01/02/1641054947-429146.png|7.472|7.84|전략|경제,농사|계약,수입,대출,시장,오픈 드래프팅,세트 컬렉션,1인용 게임,턴 오더: 프로그레시브|39683|1|4|120|60|120|10|3.1226
비뉴스 디럭스 에디션|Vinhos: Deluxe Edition|2016|https://boardlife.co.kr/data/boardgame_strategy/2022/01/02/1641055038-36239.png|7.485|8.41|전략|경제,산업 / 제조|지역 과반수/영향력,가변적 단계 순서,근로자 배치|175640|1|4|135|60|135|14|4.0548
오를레앙|Orléans|2014|https://boardlife.co.kr/wys2/swf_upload/2022/01/31/1643613546919342.png|7.467|7.97|전략|중세,종교,여행|계약,게임 종료 보너스,이벤트,지점 이동,동시 동작 선택,기술 트리 / 기술 트랙,턴 오더: 프로그레시브,가변적 준비|164928|2|4|90|90|90|12|3.0376
에이언즈 엔드|Aeon's End|2016|https://boardlife.co.kr/wys2/swf_upload/2022/01/14/1642095022152217.jpg|7.432|8.11|전략|카드 게임,판타지,전투,SF|치트 뽑기 시스템,협동 게임,지연된 구매,핸드 관리,오픈 드래프팅,1인용 게임,가변적 단계 순서,가변적 플레이어 능력,가변적 준비|191189|1|4|60|60|60|14|2.7921
콩코르디아|Concordia|2013|https://boardlife.co.kr/data/boardgame_strategy/2022/01/02/1641055279-463639.png|7.417|7.85|전략|고대,경제,해상|작업 검색,어드밴티지 토큰,경매: 네덜란드식,게임 종료 보너스,핸드 관리,숨겨진 점수,이동 포인트,오픈 드래프팅,지점 이동,세트 컬렉션,가변적 준비|124361|2|5|100|100|100|13|3.0065
티켓 투 라이드 - 유럽|Ticket to Ride: Europe|2005|https://boardlife.co.kr/data/boardgame_strategy/2022/01/02/1641055353-524302.png|7.425|7.61|가족|기차|연결,게임 종료 보너스,핸드 관리,네트워크 및 경로 구축,오픈 드래프팅,행운을 빕니다,세트 컬렉션|14996|2|5|60|30|60|8|1.9259
윙스팬|Wingspan|2019|https://boardlife.co.kr/wys2/swf_upload/2022/01/13/1642061418457210.png|7.395|7.80|전략|동물,카드 게임,교육|계약,주사위 굴리기,게임 종료 보너스,핸드 관리,1회용 능력,오픈 드래프팅,세트 컬렉션,1인용 게임,턴 오더: 프로그레시브|266192|1|5|70|40|70|10|2.4477
반지의 제왕: 가운데땅 여정|The Lord of the Rings: Journeys in Middle-Earth|2019|https://boardlife.co.kr/data/boardgame_strategy/2021/01/25/1611517151-581782.jpg|7.417|8.16|테마|모험,판타지,전투,미니어처,소설 기반 게임|캠페인/배틀 카드 주도,협동 게임,모듈형 게임판,역할 놀이,시나리오 / 미션 / 캠페인 게임,1인용 게임,수치 확인 및 해결,가변적 플레이어 능력|269385|1|5|120|60|120|14|2.6098
워 체스트|War Chest|2018|https://boardlife.co.kr/wys2/swf_upload/2022/02/10/1644486843821327.jpg|7.411|8.02|추상|추상 전략,중세,전쟁 게임|지역 과반수/영향력,지연된 구매,구획 이동,핸드 관리,육각형 구획,시나리오 / 미션 / 캠페인 게임,치고받기,팀 기반 게임,턴 오더: 클레임 조치,가변적 플레이어 능력|249259|2|4|30|30|30|14|2.3038
디센트 : 어둠속의 여정 (2판)|Descent: Journeys in the Dark (Second Edition)|2012|https://boardlife.co.kr/wys2/swf_upload/2022/01/14/164216945982040.jpg|7.404|8.53|테마|모험,탐험,판타지,전투,미니어처|액션 포인트,협동 게임,주사위 굴리기,구획 이동,핸드 관리,시선,지도 추가,모듈형 게임판,이동 포인트,다중 지도,시나리오 / 미션 / 캠페인 게임,수치 확인 및 해결,팀 기반 게임,가변적 플레이어 능력|104162|1|5|120|120|120|14|3.2079
스탁파일|Stockpile|2015|https://boardlife.co.kr/wys2/swf_upload/2022/02/09/1644340226657459.jpg|7.412|7.78|전략|경제|경매/입찰,경매: 고정 배치,상품 투기,제한된 입찰,투자,시장,오픈 드래프팅,주식 보유,승점을 자원으로 사용|161614|2|5|45|45|45|13|2.1136
